# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t1192: free(id=1632392469, size=24, site=122, thread=1283928880)
t1193: alloc(id=2008362258, size=24, site=122, thread=1283928880)
t1197: free(id=2008362258, size=24, site=122, thread=1283928880)
t1198: alloc(id=760563749, size=24, site=122, thread=1283928880)
t1202: free(id=760563749, size=24, site=122, thread=1283928880)
t1203: alloc(id=1753447031, size=24, site=122, thread=1283928880)
t1207: free(id=1753447031, size=24, site=122, thread=1283928880)
t1208: alloc(id=1810132623, size=24, site=122, thread=1283928880)
t1212: free(id=1810132623, size=24, site=122, thread=1283928880)
t1213: alloc(id=895947612, size=24, site=122, thread=1283928880)
t1217: free(id=895947612, size=24, site=122, thread=1283928880)
t1218: alloc(id=846492085, size=24, site=122, thread=1283928880)
t1222: free(id=846492085, size=24, site=122, thread=1283928880)
t1223: alloc(id=1096283470, size=24, site=122, thread=1283928880)
t1227: free(id=1096283470, size=24, site=122, thread=1283928880)
